id,token,POS,statistics,lemma,morphology,
2,The,DET,2,the,Definite=Def|PronType=Art,
3,HEAD,PROPN,1,HEAD,Number=Sing,
4,and,CCONJ,2,and,ConjType=Cmp,
5,DEPREL,PROPN,1,DEPREL,Number=Sing,
6,values,NOUN,1,value,Number=Plur,
7,define,VERB,1,define,Tense=Pres|VerbForm=Fin,
8,the,DET,2,the,Definite=Def|PronType=Art,
9,basic,ADJ,2,basic,Degree=Pos,
10,dependencies,NOUN,3,dependency,Number=Plur,
11,which,PRON,2,which,,
12,must,AUX,1,must,VerbForm=Fin,
13,be,AUX,1,be,VerbForm=Inf,
14,strictly,ADV,1,strictly,,
15,a,DET,4,a,Definite=Ind|PronType=Art,
16,tree,NOUN,2,tree,Number=Sing,
17,.,PUNCT,2,.,PunctType=Peri,
18,However,ADV,1,however,,
19,,,PUNCT,7,,,PunctType=Comm,
20,in,ADP,3,in,,
21,addition,NOUN,1,addition,Number=Sing,
22,to,ADP,1,to,,
23,these,DET,1,these,Number=Plur|PronType=Dem,
24,treebanks,NOUN,1,treebank,Number=Plur,
25,may,AUX,1,may,VerbForm=Fin,
26,optionally,ADV,1,optionally,,
27,provide,VERB,1,provide,VerbForm=Inf,
28,an,DET,1,an,Definite=Ind|PronType=Art,
29,enhanced,VERB,2,enhanced,Degree=Pos,
30,dependency,NOUN,3,dependency,Number=Sing,
31,representation,NOUN,2,representation,Number=Sing,
32,that,PRON,1,that,PronType=Rel,
33,specifies,VERB,1,specify,Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,
34,additional,ADJ,1,additional,Degree=Pos,
35,relations,NOUN,1,relation,Number=Plur,
36,for,ADP,1,for,,
37,example,NOUN,1,example,Number=Sing,
38,when,SCONJ,1,when,,
39,propagate,VERB,1,propagate,Tense=Pres|VerbForm=Fin,
40,over,ADP,1,over,,
41,coordinate,NOUN,1,coordinate,Number=Sing,
42,structures,NOUN,1,structure,Number=Plur,
43,general,ADJ,1,general,Degree=Pos,
44,is,AUX,2,be,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,
45,graph,NOUN,1,graph,Number=Sing,
46,not,PART,1,not,Polarity=Neg,
47,specified,VERB,1,specify,Aspect=Perf|Tense=Past|VerbForm=Part,
48,DEPS,PROPN,1,DEPS,Number=Sing,
49,field,NOUN,1,field,Number=Sing,
50,using,VERB,1,use,Aspect=Prog|Tense=Pres|VerbForm=Part,
51,list,NOUN,1,list,Number=Sing,
52,of,ADP,1,of,,
53,head,NOUN,1,head,Number=Sing,
54,-,PUNCT,1,-,PunctType=Dash,
55,relation,NOUN,1,relation,Number=Sing,
56,pairs,NOUN,1,pair,Number=Plur,
