id,token,POS,statistics,lemma,morphology,
2,Les,DET,1,le,Definite=Def|Number=Plur|PronType=Art,
3,valeurs,NOUN,1,valeur,Gender=Fem|Number=Plur,
4,HEAD,PROPN,1,HEAD,Gender=Masc|Number=Sing,
5,et,CCONJ,2,et,,
6,DEPREL,PROPN,1,DEPREL,,
7,définissent,VERB,1,définir,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,
8,les,DET,3,le,Definite=Def|Number=Plur|PronType=Art,
9,dépendances,NOUN,4,dépendance,Gender=Masc|Number=Plur,
10,de,ADP,7,de,,
11,base,NOUN,2,base,Gender=Fem|Number=Sing,
12,qui,PRON,3,qui,PronType=Rel,
13,doivent,VERB,1,devoir,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,
14,être,AUX,1,être,VerbForm=Inf,
15,strictement,ADV,1,strictement,,
16,arborescentes,VERB,1,arborescenter,Gender=Fem|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,
17,.,PUNCT,2,.,,
18,Cependant,ADV,1,cependant,,
19,,,PUNCT,7,,,,
20,en,ADP,2,en,,
21,plus,ADV,1,plus,,
22,ces,DET,1,ce,Number=Plur|PronType=Dem,
23,treebanks,NOUN,1,treebank,Number=Plur,
24,peuvent,VERB,1,pouvoir,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,
25,éventuellement,ADV,1,éventuellement,,
26,fournir,VERB,1,fournir,VerbForm=Inf,
27,une,DET,2,un,Definite=Ind|Gender=Fem|Number=Sing|PronType=Art,
28,représentation,NOUN,2,représentation,Gender=Fem|Number=Sing,
29,dépendance,NOUN,2,dépendance,Gender=Fem|Number=Sing,
30,améliorée,VERB,2,améliorer,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part,
31,spécifie,VERB,1,spécifier,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,
32,des,ADP,3,de,Definite=Def|Number=Plur|PronType=Art,
33,relations,NOUN,1,relation,Gender=Fem|Number=Plur,
34,supplémentaires,ADJ,1,supplémentaire,Number=Plur,
35,par,ADP,1,par,,
36,exemple,NOUN,1,exemple,Gender=Masc|Number=Sing,
37,lorsque,SCONJ,1,lorsque,,
38,se,PRON,1,se,Person=3|Reflex=Yes,
39,propagent,VERB,1,propager,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin,
40,sur,ADP,1,sur,,
41,structures,NOUN,1,structure,Gender=Masc|Number=Plur,
42,coordonnées,NOUN,1,coordonnée,Gender=Fem|Number=Plur,
43,La,DET,1,le,Definite=Def|Gender=Fem|Number=Sing|PronType=Art,
44,est,AUX,2,être,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin,
45,général,NOUN,1,général,Gender=Masc|Number=Sing,
46,un,DET,2,un,Definite=Ind|Gender=Masc|Number=Sing|PronType=Art,
47,graphe,NOUN,1,graphe,Gender=Masc|Number=Sing,
48,non,ADV,1,non,,
49,arbre,NOUN,1,arbre,Gender=Masc|Number=Sing,
50,spécifiée,VERB,1,spécifier,Gender=Fem|Number=Sing|Tense=Past|VerbForm=Part|Voice=Pass,
51,dans,ADP,1,dans,,
52,le,DET,1,le,Definite=Def|Gender=Masc|Number=Sing|PronType=Art,
53,champ,NOUN,1,champ,Gender=Masc|Number=Sing,
54,DEPS,NOUN,1,dep,Gender=Masc|Number=Sing,
55,à,ADP,1,à,,
56,l',DET,1,le,Definite=Def|Number=Sing|PronType=Art,
57,aide,NOUN,1,aide,Number=Sing,
58,d',ADP,1,de,,
59,liste,NOUN,1,liste,Gender=Fem|Number=Sing,
60,paires,NOUN,1,paire,Gender=Fem|Number=Plur,
61,tête,NOUN,1,tête,Gender=Fem|Number=Sing,
62,-,PUNCT,1,-,,
63,relation,NOUN,1,relation,Gender=Fem|Number=Sing,
